Node,Label,Inlier-Outlier Propagation Score,Local reaching centrality,Betweenness centrality,Degree,In degree nodes,Out degree nodes,In Weight,Out Weight,Diff,To Inliers,To Outliers,In Out,To Inliers Weight,To Outliers Weight
841356973986788424033641854148712928121319667477,Variance >,-0.145925320049002,4.530734129266438,0.0,140,70,70,68208.8685819071,74885.02872860635,-6676.160146699258,7805.599022004891,17759.0,-9953.400977995108,0.1144367174575211,0.2603620375065231
1244200006508864238414081275966745179431479901918,ARP >,-0.1371850911031691,5.126437324235421,0.02774774774774775,125,63,62,37366.65464547677,40523.73166259169,-3157.0770171149125,2927.352078239609,8053.5,-5126.147921760391,0.0783412940230646,0.2155263851262338
681078890404174620223416780986783609679186091789,IPv <=,-0.1156002846937214,5.024706203079509,0.0005405405405405405,129,64,65,37951.82212713936,45112.1717603912,-7160.349633251833,3356.5085574572126,7743.75,-4387.241442542787,0.0884413018751205,0.204041586568842
207766774224049171901964708681563529125144087827,HTTP >,-0.1099067989421044,5.113269414388989,0.0005405405405405405,126,63,63,43716.90831295844,51937.7793398533,-8220.871026894863,3145.4645476772616,7950.25,-4804.785452322738,0.0719507547322346,0.1818575536743391
1429650867505148313720594668477948880050562903683,syn_flag_number >,-0.0861900052894234,5.026453132887788,0.0,135,67,68,54885.32701711491,55595.95965770172,-710.6326405868022,2600.18337408313,7330.75,-4730.56662591687,0.0473748361428604,0.1335648414322839
520582048177068818674784514618258893555315007951,LLC <=,-0.0856302595897997,5.142745093500308,0.0,126,63,63,39657.59290953545,43633.601466992666,-3976.008557457215,4864.1100244498775,8260.0,-3395.8899755501225,0.1226526792875603,0.20828293887736
1184472685782376059334758133512718430805424685192,SSH >,-0.0641981657666923,4.279373785035864,0.2054654654654654,106,52,54,8835.827017114914,10135.666259168704,-1299.8392420537891,981.5061124694377,1548.75,-567.2438875305623,0.1110825404988428,0.1752807062655352
1390694102288752714886335797250086933489416434790,size >,-0.0375758801551358,4.457213868776939,0.018633633633633632,139,70,69,92362.80501222494,96043.95782396088,-3681.152811735941,8506.38630806846,11977.0,-3470.6136919315395,0.0920975311105219,0.1296734112656577
1118614325010621431186771152252517336813918651911,sum >,-0.028513069340053,6.273537100772284,0.0022222222222222222,144,72,72,185634.66442542788,196794.5,-11159.83557457212,19796.73594132029,25089.75,-5293.014058679706,0.1066435301973082,0.1351565995373612
629827923182617752624696690572530002196221478554,DHCP >,-0.0255898271241658,4.115319821996885,0.13924924924924922,86,43,43,4804.280562347189,4871.9358190709045,-67.65525672371587,599.8092909535453,722.75,-122.94070904645469,0.1248489306920288,0.1504387578161946
1345309773886921328764805451107636357621530213384,Class -1,0.0,5.995653741856922,0.0,143,72,71,813197.0,426112.75,387084.25,0.0,0.0,0.0,0.0,0.0
171982518954274878349485416184092168691833932185,Class 1,0.0,6.529371187446452,0.0,148,74,74,1401958.2885085577,1020872.3838630808,381085.9046454767,0.0,0.0,0.0,0.0,0.0
843826879422383561066103188424018239931401286651,ack_count <=,0.0027851089508096,5.599688571556234,0.03258258258258258,140,71,69,152276.8361858191,163904.95721271395,-11628.121026894863,16118.107579462105,15694.0,424.1075794621029,0.1058474025543427,0.1030622936035331
1233133706649643691022119102239698495899057226060,Time_To_Live <=,0.0067605000187444,6.391142219449629,0.0,138,69,69,181814.1619804401,192844.24083129584,-11030.07885085573,22188.90464547677,20959.75,1229.154645476774,0.122041673782617,0.1152811737638726
161772624339136553719839337862344762258727720981,ack_flag_number <=,0.0106690040456448,4.346947583305434,0.01036036036036036,139,69,70,107139.41992665036,109967.3086797066,-2827.888753056235,8577.070904645478,7434.0,1143.0709046454776,0.0800552300032751,0.0693862259576302
1043754360836331848364792327262011021650379248223,DNS >,0.014345810215936,3.852028641359518,0.02063063063063063,137,69,68,38766.46210268949,42184.56723716381,-3418.1051344743246,4376.38630806846,3820.25,556.1363080684596,0.1128910421713422,0.0985452319554062
