classe,predicado,alcance,betweenness,posicao_alcance,posicao_betweenness
Class DoS/DDoS,Rate <= 3265.26,0.7326950626745988,0.0504328833451751,117,13
Class DoS/DDoS,AVG <= 1500.4,0.7302162742132403,0.0042718174083138,118,163
Class DoS/DDoS,Max > 1507.0,0.7275168752496537,0.0601870126224748,119,10
Class DoS/DDoS,AVG <= 2074.3,0.7262723020399879,0.0026797540415603,120,210
Class DoS/DDoS,ack_flag_number > 0.81,0.7229438070018241,0.0126531757936194,121,57
Class DoS/DDoS,UDP > 0.58,0.7226250232909447,0.005508626965957,122,129
Class DoS/DDoS,Variance > 173096.54,0.7221593638522275,0.0038156890608141,123,178
Class DoS/DDoS,syn_count <= 1.5,0.7209644206960752,0.003811303211319,124,179
Class DoS/DDoS,Header_Length <= 28.2,0.7173672181251878,0.0013157548485566,125,267
Class DoS/DDoS,Header_Length > 28.2,0.7171452482051138,0.0096532547389103,126,81
Class DoS/DDoS,Time_To_Live > 66.0,0.7161450085575558,0.0032148276799733,127,190
Class DoS/DDoS,Tot size <= 77.0,0.716143473285058,0.0211661096637807,128,38
Class DoS/DDoS,Variance <= 157684.25,0.7153077512425375,0.0018464426374744,129,225
Class DoS/DDoS,ack_count > 0.5,0.7144068316067252,0.0270870064822855,130,32
Class DoS/DDoS,Tot size <= 546.4,0.7138833135892144,0.0076664649175898,131,93
Class DoS/DDoS,HTTPS > 0.2,0.7025895854158879,0.0133198249168881,132,54
Class DoS/DDoS,psh_flag_number <= 0.22,0.7022379191795594,0.0078594422953781,133,91
Class DoS/DDoS,ack_flag_number > 0.67,0.7020034367734848,0.0060042279589133,134,117
Class DoS/DDoS,IAT <= 0.03,0.7018503159182206,0.0037235862214152,135,180
Class DoS/DDoS,Time_To_Live <= 219.5,0.7009951723030627,0.0033200880678578,136,187
Class DoS/DDoS,psh_flag_number <= 0.55,0.6992244750746498,0.0048025051972316,137,144
Class DoS/DDoS,ack_count <= 10.5,0.6986097183789982,0.0638667403489381,138,8
Class DoS/DDoS,Rate <= 9671.28,0.6983022661033774,0.00046490004649,139,273
Class DoS/DDoS,Rate <= 1355.55,0.6928569885834033,0.0,140,348
Class DoS/DDoS,Min <= 970.5,0.6926528256073538,0.0048639070901642,141,143
Class DoS/DDoS,Rate > 136.08,0.6922201583870442,0.0080918923186231,142,89
Class DoS/DDoS,Rate <= 3182.08,0.6909950783710769,0.0093944896186942,143,84
Class DoS/DDoS,Header_Length <= 32.6,0.6888694516079947,0.0094865924580932,144,83
Class DoS/DDoS,Header_Length <= 14.32,0.6877472260135129,0.0045305825285299,145,153
Class DoS/DDoS,Min > 59.0,0.6852714487051845,0.2347832951764427,146,1
Class DoS/DDoS,Rate <= 1319.67,0.6845742692211213,0.0,147,348
Class DoS/DDoS,Tot size > 138.05,0.6811391330847749,0.003556923940598,148,184
Class DoS/DDoS,Tot size > 62.99,0.6808888565389491,0.0,149,348
Class DoS/DDoS,SSH <= 0.15,0.6805746199870583,0.0081094357166039,150,88
Class DoS/DDoS,psh_flag_number <= 0.26,0.6800815201513112,0.0,151,348
Class DoS/DDoS,Tot size > 63.55,0.6780133283870459,0.0122145908441005,152,60
Class DoS/DDoS,HTTPS > 0.45,0.6733822203498089,0.0151662675543626,153,48
Class DoS/DDoS,AVG > 216.4,0.6713885200474107,0.0,154,348
Class DoS/DDoS,Time_To_Live <= 216.1,0.6689739103209253,0.0044472513881213,155,160
Class DoS/DDoS,Header_Length > 11.8,0.6619214139485581,0.0793312456689736,156,6
Class DoS/DDoS,AVG <= 458.2,0.6617985847899225,0.004789347648746,157,146
Class DoS/DDoS,Std > 0.63,0.6575032150324308,0.0015876775172583,158,241
Class DoS/DDoS,Tot sum <= 30949.0,0.657349924243324,0.0029560625597571,159,199
Class DoS/DDoS,Variance > 198750.05,0.6555920447435156,0.006578774242783,160,104
Class DoS/DDoS,Tot sum <= 34688.0,0.655026421538114,0.0121707323491487,161,61
Class DoS/DDoS,Time_To_Live <= 158.55,0.6549604581572507,0.007600677175162,162,94
Class DoS/DDoS,Tot sum > 10816.0,0.6528371457410262,0.0030613229476417,163,198
Class DoS/DDoS,Tot size <= 295.8,0.6504164693580682,0.0057454628386972,164,123
Class DoS/DDoS,Rate > 109.13,0.6502186943011208,0.0032016701314877,165,191
Class DoS/DDoS,HTTP <= 0.25,0.6491871930713757,0.0420734542073454,166,17
Class DoS/DDoS,ack_flag_number <= 0.55,0.6489039463402764,0.0016008350657438,167,234
Class DoS/DDoS,DNS <= 0.05,0.6479283817283501,0.0199775444505846,168,40
Class DoS/DDoS,Min <= 1507.0,0.6466680913125993,0.0032981588203819,169,188
Class DoS/DDoS,syn_flag_number <= 0.1,0.6466349405827678,0.0281264528126452,170,28
Class DoS/DDoS,Min <= 1244.0,0.646039744054755,0.0067322789751146,171,99
Class DoS/DDoS,Protocol Type <= 11.5,0.6458155708834677,0.0064033402629755,172,109
Class DoS/DDoS,Max > 2958.0,0.6456448189403142,0.0119645974228748,173,63
Class DoS/DDoS,Max <= 1274.0,0.6454173896846154,0.0063068515740813,174,111
Class DoS/DDoS,Min <= 72.0,0.6452617107034174,0.0021446804031472,175,221
Class DoS/DDoS,Rate <= 15745.77,0.6445681039922407,0.013061059796672,176,55
Class DoS/DDoS,AVG > 64.35,0.6442007248127571,0.0045305825285299,177,153
Class DoS/DDoS,ARP <= 0.05,0.6430662945211455,0.0032630720244204,178,189
Class DoS/DDoS,Header_Length <= 29.4,0.6420328024116497,0.0,179,348
Class DoS/DDoS,Max > 1512.0,0.6418927748523612,0.0119558257238844,180,64
Class DoS/DDoS,Std > 448.37,0.6397721780531552,0.006065629851846,181,115
Class DoS/DDoS,Tot sum > 21652.5,0.6389903714368483,0.004789347648746,182,146
Class DoS/DDoS,IRC <= 0.05,0.6364241579315443,0.0027718568809592,183,204
Class DoS/DDoS,Std <= 755.85,0.6340713106636033,0.0036665701779777,184,181
Class DoS/DDoS,Tot size <= 266.5,0.6306829834955627,0.0042718174083138,185,163
Class DoS/DDoS,Tot sum <= 8403.0,0.6275576615743861,0.007833127198407,186,92
Class DoS/DDoS,syn_flag_number <= 0.0,0.6254519301971893,0.0277054112611071,187,29
