classe,predicado,lrc,cobertura,seletividade,lift
Spoofing,AVG <= 1384.4,1.482304480282848,0.8916,0.9564,0.932
Spoofing,Std <= 597.93,1.44583316180126,0.7091,0.8341,0.85
Spoofing,Rate > 307.28,1.3986175675538448,0.6294,0.6927,0.909
Spoofing,Time_To_Live <= 200.15,1.3344987036087883,0.9182,0.9732,0.943
Spoofing,Std <= 598.58,1.5261769419071745,0.7098,0.8351,0.85
Spoofing,rst_flag_number <= 0.2,1.4872098297242917,0.9965,0.9305,1.071
Spoofing,Rate > 412.01,2.4846370551349932,0.5706,0.6665,0.856
Spoofing,Rate > 394.89,2.520971557721655,0.5762,0.6712,0.858
Spoofing,Min > 44.5,1.6969109806319078,0.993,0.9998,0.993
Spoofing,syn_count <= 94.5,2.0583813556612154,1.0,0.907,1.103
Spoofing,Tot sum > 1087.5,1.8181199042614002,0.765,0.8359,0.915
Spoofing,Time_To_Live <= 111.35,1.7866893756051139,0.721,0.8348,0.864
Spoofing,HTTP <= 0.09,1.7899629917148594,0.8643,0.8527,1.014
Spoofing,UDP <= 0.13,2.125536319620309,0.5727,0.6768,0.846
Spoofing,HTTPS <= 0.02,2.6103391692035665,0.2406,0.5801,0.415
Spoofing,Std <= 92.27,1.5794164546731562,0.3629,0.6232,0.582
Spoofing,syn_count <= 84.5,1.9153392779321314,1.0,0.9038,1.106
Spoofing,rst_count <= 26.5,1.8834193156220098,1.0,0.9551,1.047
Spoofing,Header_Length <= 33.08,2.303245629686985,0.9042,0.9785,0.924
Spoofing,Std <= 1190.72,2.273769532512535,0.9629,0.9602,1.003
Spoofing,Tot sum <= 96901.0,2.2383515415881363,1.0,0.9959,1.004
Spoofing,Time_To_Live <= 80.75,2.194780317006321,0.4881,0.7119,0.686
Spoofing,Std <= 1367.37,2.637473683133476,0.9769,0.9708,1.006
Spoofing,Tot sum <= 92268.5,2.636679448636438,1.0,0.9547,1.047
Spoofing,Rate > 134.38,2.6359632231808483,0.7678,0.7807,0.983
Spoofing,Rate > 115.89,2.6353147772318297,0.7944,0.8042,0.988
Spoofing,Rate <= 194729.86,2.5550129372189443,0.9252,0.9937,0.931
