classe,cobertura,seletividade,lift
Benign,0.9984875983061101,0.9937282902354303,1.004789345455338
Benign,0.9827586206896551,0.6119258973369356,1.6060091997520634
Benign,0.8641863278886872,0.5574102663064454,1.5503595468648699
Benign,0.8771929824561403,0.6733886530297183,1.3026548316629083
Benign,0.604053236539625,0.819760710150521,0.7368653182081771
Benign,0.49879007864488806,0.25231570822076416,1.9768490918071207
Benign,0.969147005444646,0.6135661906599769,1.579531304360483
Benign,0.9882032667876588,0.8852759552296411,1.1162657936770894
Benign,0.5958862673926195,0.9094944037051331,0.6551840945530564
Benign,0.23018753781004234,0.7493245851022771,0.3071933610434302
Benign,0.26799758015728975,0.710536472404477,0.3771763879345669
Benign,0.7698124621899577,0.2504824392126592,3.0733190901913408
Benign,0.9388989715668482,0.930239289849479,1.0093090904801176
Benign,0.1793708408953418,0.4484754920879969,0.39995684058505215
Benign,0.073502722323049,0.4604399845619452,0.15963583699834027
Benign,0.9603750756200847,0.9974913160941722,0.9627904124324393
Benign,1.0,0.3458124276341181,2.891741071428571
Benign,0.9670296430732003,0.6033384793516017,1.60279789234138
