Node,Label,Inlier-Outlier Propagation Score,Local reaching centrality,Betweenness centrality,Degree,In degree nodes,Out degree nodes,In Weight,Out Weight,Diff,To Inliers,To Outliers,In Out,To Inliers Weight,To Outliers Weight
218607780770691257170847497927336330511308420255,ack_count >,-0.1011704944320753,6.406387674393946,0.006603603603603603,141,71,70,143884.63669571804,157320.751447747,-13436.114752028952,17417.313712701776,31974.1935483871,-14556.879835685322,0.1210505451637291,0.2222210395958044
337274849629170698169636561573185333120886675912,ece_flag_number >,-0.0984647832058073,4.134596176773547,0.31960960960960955,46,24,22,664.3260415625674,952.0442555608738,-287.7182139983064,234.3453448556987,299.758064516129,-65.41271966043033,0.3527565234451638,0.4512213066509711
335418722972519651500040442315750311827115323662,Rate >,-0.0626317160379816,4.383216163934707,0.006996996996996996,139,70,69,41969.89250380017,42560.88787258775,-590.9953687875823,6863.692320234795,9492.33870967742,-2628.646389442625,0.1635384774839087,0.2261701935218903
371266811264664269299964157380215767396824640058,ICMP >,-0.0529824709110363,4.518172720813405,0.0708048048048048,130,66,64,25930.204880524718,26790.084813515463,-859.8799329907488,2223.2504483939347,3597.0967741935483,-1373.8463257996136,0.085739794908591,0.1387222658196273
629827923182617752624696690572530002196221478554,DHCP >,-0.03673114827831,4.182747165967439,0.15205105105105104,92,45,47,3694.767821357753,3988.546690826465,-293.7788694687124,663.6417740094571,799.3548387096774,-135.71306470022034,0.1796166379314146,0.2163477862097247
835140271881840015202809914014108690929910415575,IAT >,-0.0279813192432875,7.106041986224943,0.03552552552552552,139,70,69,141578.41066046717,151101.68803879595,-9523.277378328785,23416.35251915865,27377.90322580645,-3961.5507066477994,0.1653949384649871,0.1933762577082747
841356973986788424033641854148712928121319667477,Variance >,-0.0184217150898677,4.325431161116089,0.0006306306306306307,140,70,70,48021.79912477712,51658.58341705107,-3636.784292273951,6809.146421001142,7693.790322580645,-884.6439015795031,0.141792822116236,0.1602145372061037
1043754360836331848364792327262011021650379248223,DNS >,-0.00763097911397,3.8830493879391264,0.10986186186186186,141,70,71,38568.64287855756,40906.3940975053,-2337.7512189477347,4202.054459481494,4496.370967741936,-294.3165082604419,0.1089500212053779,0.1165810003193479
1345309773886921328764805451107636357621530213384,Class -1,0.0,5.946507250207031,0.0,144,73,71,808447.5,398478.3870967742,409969.1129032258,0.0,0.0,0.0,0.0,0.0
171982518954274878349485416184092168691833932185,Class 1,0.0,6.533032004665466,0.0,148,74,74,1403776.0908201532,1021452.7718897768,382323.31893037655,0.0,0.0,0.0,0.0,0.0
1118614325010621431186771152252517336813918651911,sum >,0.0010998978283206,5.050922443624762,0.07681381381381382,137,69,68,157959.02644603758,165785.61355017542,-7826.587104137841,12563.73879015164,12390.0,173.73879015163948,0.0795379603991399,0.0784380625708193
1184472685782376059334758133512718430805424685192,SSH >,0.0029019483448238,3.329015865596671,0.17798198198198195,100,51,49,6574.21456109992,7735.188509543822,-1160.9739484439024,1118.190934289907,1099.1129032258066,19.078031064100514,0.1700873806136964,0.1671854322688725
1418162538066850581097605911983264533342366443794,Header_Length <=,0.0198432877533645,5.131967625514459,0.0,140,70,70,137605.89538088502,140498.71792208205,-2892.822541197005,12922.327572150662,10191.774193548388,2730.5533786022734,0.0939082408960925,0.074064953142728
1043469376771332113858820724324827897913309990452,LLC >,0.0371817301016672,6.90212700259809,0.0,141,71,70,293074.7418644772,303133.29568226886,-10058.553817791631,24486.05820968531,13589.032258064515,10897.025951620792,0.0835488519205387,0.0463671218188714
1390694102288752714886335797250086933489416434790,size >,0.0401697247167305,5.283248003539851,0.0,138,69,69,85946.70915670382,87653.06063706128,-1706.351480357465,13244.552421327246,9792.09677419355,3452.4556471336964,0.1541019144453674,0.1139321897286368
1239329028096551917906154637654656383307088642249,cwr_flag_number <=,0.040789629540349,6.381709165216182,0.05213813813813814,123,61,62,94079.55486711234,102621.78807929603,-8542.233212183695,7634.405674221425,3796.935483870968,3837.4701903504574,0.0811484034443514,0.0403587739040023
841518471221275042570144506781210008737201997031,Min <=,0.0413302411637443,7.444332786337068,0.0036036036036036037,142,71,71,271070.245104485,285254.5086733325,-14184.263568847498,28889.12440893527,17685.725806451614,11203.398602483656,0.1065743102781341,0.0652440691143898
40351198695966294513339726256484683518911283460,fin_flag_number <=,0.0436358771721399,5.833721187662731,0.05018018018018018,138,69,69,244787.43063700869,246287.03556381923,-1499.6049268105417,18874.901353334422,8193.387096774193,10681.51425656023,0.0771073143102829,0.033471437138143
161772624339136553719839337862344762258727720981,ack_flag_number <=,0.0465162329397888,5.062696162307105,0.10259759759759761,142,71,71,97991.23550280608,101132.54491828974,-3141.309415483658,11452.618620577206,6894.435483870968,4558.183136706239,0.1168739077715705,0.0703576748317816
160227321490815016489601533331665083666172936667,IGMP <=,0.0487581947585481,5.033738564083475,0.0589039039039039,127,64,63,123454.1996891486,141968.65496283985,-18514.455273691245,12414.242621881624,6394.83870967742,6019.403912204204,0.1005574751862638,0.0517992804277156
223165296026140232481876277255273629987157553131,Header_Length >,0.0553986346959378,6.1093905565343265,0.0,142,71,71,111448.8395144196,116960.28881303156,-5511.449298611959,18963.79096690037,12789.67741935484,6174.113547545536,0.1701569172862206,0.1147582825902827
1455733501014453866297060548284701359849809242142,DHCP <=,0.0565203275447013,6.287053741685892,0.006291291291291291,126,63,63,268821.0087811575,269099.96185364213,-278.95307248464087,19890.061144627427,4696.209677419355,15193.851467208073,0.0739899803025424,0.017469652757841
